Abbreviation of the operating point,Name of the operating point,Abkuerzung Betriebspunkt Strecke,Name of operating point distance,LINIE,Kilometry of the operating point,LINIENNAME,VERWALTUNG,E,N,BPUIC,Didok Nummer,Name Haltestelle,lod,geopos_x,geopos_y
LENO,Lengnau Ost (Abzw),LEN,Lengnau,410,87.65494,Olten - Solothurn - Biel/Bienne,SBB,2594831.297,1225555.465,8515335,15335,Lengnau Ost (Abzw),http://lod.opentransportdata.swiss/didok/8515335,47.1809324938,7.37043971129
LGB,Leuggelbach,LGB,Leuggelbach,736,77.35064,Ziegelbrucke Ost - Linthal Gleisende,SBB,2722369.535,1203995.117,8503235,3235,Leuggelbach,http://lod.opentransportdata.swiss/didok/8503235,46.9757428885,9.04694440369
LGV,Lugano Vedeggio,LGV,Lugano Vedeggio,633,178.537,Taverne-Torricella - Lugano Vedeggio,SBB,2714540.065,1097579.662,8505345,5345,Lugano Vedeggio,http://lod.opentransportdata.swiss/didok/8505345,46.0200516736,8.91770189854
LITT,Litti (Baar),LITT,Litti (Baar),9722,21.0,Nidelbad - Litti,SBB,2683119.27,1229243.269,8502242,2242,Litti (Baar),http://lod.opentransportdata.swiss/didok/8502242,47.2089019466,8.53579702543
LK,Leuk,LK,Leuk,100,117.694,Lausanne - Simplon Tunnel I - Iselle,SBB,2615891.293,1128929.17,8501601,1601,Leuk,http://lod.opentransportdata.swiss/didok/8501601,46.3115795108,7.64493646122
LOC,Le Locle,LOC,Le Locle,224,37.067209999999996,Chambrelien Nord - Le Locle (Frontiere),SBB,2547390.022,1212103.713,8504316,4316,Le Locle,http://lod.opentransportdata.swiss/didok/8504316,47.0578610148,6.74615325034
LON,Lonay-Preverenges,LON,Lonay-Preverenges,150,10.12288,Lausanne - Geneve-Aeroport,SBB,2529476.9080000003,1152840.352,8501048,1048,Lonay-Préverenges,http://lod.opentransportdata.swiss/didok/8501048,46.5231356113,6.51954476302
LP,La Plaine,LP,La Plaine,151,74.778,Geneve St-Jean - La Plaine-Frontiere,SBB,2488911.7819999997,1115153.608,8501001,1001,La Plaine,http://lod.opentransportdata.swiss/didok/8501001,46.1786654048,5.99999275337
LS,Lausanne,LS,Lausanne,100,0.0,Lausanne - Simplon Tunnel I - Iselle,SBB,2537874.991,1152042.412,8501120,1120,Lausanne,http://lod.opentransportdata.swiss/didok/8501120,46.5167918174,6.62909229044
LSE,Lausanne Est,LS,Lausanne,100,0.519,Lausanne - Simplon Tunnel I - Iselle,SBB,2538282.3819999998,1151749.711,8515338,15338,Lausanne Est,http://lod.opentransportdata.swiss/didok/8515338,46.5141967033,6.6344397622
LTB,Lausanne-Triage B,LT,Lausanne-Triage,172,8.51065,Lausanne-Triage  A/B - B,SBB,2530999.878,1153370.922,8515339,15339,Lausanne-Triage B,http://lod.opentransportdata.swiss/didok/8515339,46.5280671202,6.53931177945
LTE,Lausanne-Triage Est,LT,Lausanne-Triage,166,7.255780000000001,Renens VD Ouest - Lausanne-Triage Est,SBB,2532096.006,1154205.144,8515639,15639,Lausanne-Triage Est,http://lod.opentransportdata.swiss/didok/8515639,46.5356832683,6.55347432331
LTO,Lausanne-Triage Ouest,LT,Lausanne-Triage,161,9.7915,Lausanne-Triage F - Lonay A (bif),SBB,2529787.25,1152950.23,8518430,18430,Lausanne-Triage Ouest,http://lod.opentransportdata.swiss/didok/8518430,46.5241566673,6.52357218424
LTSE,Lausanne-Triage sectionnement,LT,Lausanne-Triage,160,10.266919999999999,Renens VD Ouest - Lausanne-Triage sect.,SBB,2529608.62,1152608.89,8515342,15342,Lausanne-Triage sectionnement,http://lod.opentransportdata.swiss/didok/8515342,46.5210675228,6.52129645154
LTY,Lutry,LTY,Lutry,100,5.073,Lausanne - Simplon Tunnel I - Iselle,SBB,2542581.879,1150549.814,8501122,1122,Lutry,http://lod.opentransportdata.swiss/didok/8501122,46.5037867325,6.69060945008
LUE,Lusslingen,LUE,Lusslingen,415,84.19646999999999,Wanzwil (Abzw) - Solothurn - Busswil,SBB,2604393.377,1226841.624,8500225,225,Lüsslingen,http://lod.opentransportdata.swiss/didok/8500225,47.1925078079,7.49660079179
LUPF,Lupfig,LUPF,Lupfig,647,4.2363599999999995,Brugg - Hendschiken Nord,SBB,2658556.73,1255221.8909999998,8502237,2237,Lupfig,http://lod.opentransportdata.swiss/didok/8502237,47.445184179,8.21498985697
LUY,Lussy FR,LUY,Lussy FR,250,42.93,Lausanne Est - Bern,SBB,2561756.099,1173239.812,8519129,19129,Lussy FR,http://lod.opentransportdata.swiss/didok/8519129,46.7092645082,6.93850940451
LYGR,Lyss Grien,LYGR,Lyss Grien,251,99.03,Palezieux Est - Lyss Nord,SBB,2589204.974,1213528.633,8518749,18749,Lyss Grien,http://lod.opentransportdata.swiss/didok/8518749,47.0726845385,7.29650344962
LYW,Lyss West (Agl),LY,Lyss,251,99.7905,Palezieux Est - Lyss Nord,SBB,2589359.636,1214257.497,8515344,15344,Lyss West (Agl),http://lod.opentransportdata.swiss/didok/8515344,47.0792432005,7.2985225568
LZEF,Luzern Einfahrt (Abzw),LZ,Luzern,500,94.46571,Basel SBB - Olten - Luzern,SBB,2666201.893,1210767.752,8505045,5045,Luzern Einfahrt (Abzw),http://lod.opentransportdata.swiss/didok/8505045,47.0446385317,8.30980273028
LZEF,Luzern Einfahrt (Abzw),LZ,Luzern,551,94.46571,Luzern Verbindung GB,SBB,2666201.893,1210767.752,8505045,5045,Luzern Einfahrt (Abzw),http://lod.opentransportdata.swiss/didok/8505045,47.0446385317,8.30980273028
LZSE,Luzern Seeverlad,LZ,Luzern,552,95.30263000000001,Luzern Verbindung Seeverlad,SBB,2666888.608,1210929.876,8515737,15737,Luzern Seeverlad,http://lod.opentransportdata.swiss/didok/8515737,47.0460278868,8.3188626719
LZVH,Luzern Verkehrshaus,LZVH,Luzern Verkehrshaus,570,5.94,Gutsch - Kussnacht - Immensee,SBB,2668279.333,1211824.455,8517336,17336,Luzern Verkehrshaus,http://lod.opentransportdata.swiss/didok/8517336,47.0539322718,8.33729728745
MAT,Mattstetten,MAT,Mattstetten,450,93.15603,Olten Sud - Bern,SBB,2606145.199,1208342.383,8508002,8002,Mattstetten,http://lod.opentransportdata.swiss/didok/8508002,47.0260955728,7.51946813766
MBGW,Mulberg West,MBGW,Mulberg West,9782,154.0,Bruttenertunnel Nord,SBB,2691716.147,1254939.662,8519643,19643,Mülberg West,http://lod.opentransportdata.swiss/didok/8519643,47.4388605128,8.65451362917
MDE,Melide,MDE,Melide,600,187.2297,Immensee - Bellinzona - Chiasso,SBB,2717051.564,1090473.9109999998,8505302,5302,Melide,http://lod.opentransportdata.swiss/didok/8505302,45.9557134937,8.94835914329
MEGZ,Meggen Zentrum,MEGZ,Meggen Zentrum,570,9.862,Gutsch - Kussnacht - Immensee,SBB,2671109.261,1210886.048,8505018,5018,Meggen Zentrum,http://lod.opentransportdata.swiss/didok/8505018,47.0451944647,8.374393044
MEIB,Meilibach (Abzw),MEIB,Meilibach (Abzw),9724,0.0,Meilibach (Abzw) - Sihlbrugg,SBB,2690038.35,1234046.242,8503215,3215,Meilibach (Abzw),http://lod.opentransportdata.swiss/didok/8503215,47.2511915507,8.62807594534
MRL,Moreillon,MRL,Moreillon,250,14.6198,Lausanne Est - Bern,SBB,2549880.8430000003,1150997.152,8504007,4007,Moreillon,http://lod.opentransportdata.swiss/didok/8504007,46.5083980984,6.78564538921
MSPI,Munsterlingen Spital,MSPI,Munsterlingen Spital,824,95.46374,Romanshorn - Konstanz,SBB,2735088.705,1277256.4840000002,8506143,6143,Münsterlingen Spital,http://lod.opentransportdata.swiss/didok/8506143,47.6320460683,9.23611680445
MUOS,Muttenz Ost (Abzw),MU,Muttenz,500,5.58634,Basel SBB - Olten - Luzern,SBB,2616436.991,1264469.347,8515984,15984,Muttenz Ost (Abzw),http://lod.opentransportdata.swiss/didok/8515984,47.5307523799,7.65689748277
MX,Montreux,MX,Montreux,100,24.5365,Lausanne - Simplon Tunnel I - Iselle,SBB,2559404.614,1142864.0520000001,8501300,1300,Montreux,http://lod.opentransportdata.swiss/didok/8501300,46.4358843229,6.91044006944
NEVS,Neuchatel-Vauseyon,NEVS,Neuchatel-Vauseyon,223,1.6442,Neuchatel-Vauseyon - Chambrelien,SBB,2560272.999,1204559.35,8504230,4230,Neuchâtel-Vauseyon,http://lod.opentransportdata.swiss/didok/8504230,46.9909002472,6.91638187274
NIDB,Nidelbad (Abzw),NIDB,Nidelbad (Abzw),722,9.674560000000001,ZH Langstrasse - Nidelbad - Litti,SBB,2683374.446,1240733.372,8503328,3328,Nidelbad (Abzw),http://lod.opentransportdata.swiss/didok/8503328,47.3122078958,8.54129600179
NO,Nottwil,NO,Nottwil,500,73.7826,Basel SBB - Olten - Luzern,SBB,2653099.017,1221106.736,8502008,2008,Nottwil,http://lod.opentransportdata.swiss/didok/8502008,47.1388117834,8.13860106486
NV,La Neuveville,NV,La Neuveville,9210,90.04861,La Neuveville - Tuscherz,SBB,2573912.9869999997,1212480.91,8504226,4226,La Neuveville,http://lod.opentransportdata.swiss/didok/8504226,47.0628327875,7.09523245151
NWGE,Niederweningen (Gleisende),NW,Niederweningen,761,25.3889,Oberglatt - Niederweningen Gleisende,SBB,2669953.074,1262784.6840000001,8515459,15459,Niederweningen (Gleisende),http://lod.opentransportdata.swiss/didok/8515459,47.5120863703,8.36726005406
NYB,Nyon (bif),NY,Nyon,150,38.8,Lausanne - Geneve-Aeroport,SBB,2507301.305,1137512.692,8515645,15645,Nyon (bif),http://lod.opentransportdata.swiss/didok/8515645,46.3825617086,6.23365258727
OA,Oberaach,OA,Oberaach,840,73.20724,Winterthur Nord - Romanshorn,SBB,2737918.977,1268565.973,8506108,6108,Oberaach,http://lod.opentransportdata.swiss/didok/8506108,47.5533193462,9.27106230577
OHDB,Oberhard BE,HRDF,Hardfeld (Spw),457,92.08582,Hardfeld (Spw) - Mattstetten,SBB,2606634.336,1209247.705,8515349,15349,Oberhard BE,http://lod.opentransportdata.swiss/didok/8515349,47.0342342928,7.5259156393
OLN,Olten Nord (Abzw),OL,Olten,531,37.44,Olten Verbindungslinie,SBB,2636215.64,1246124.591,8500243,243,Olten Nord (Abzw),http://lod.opentransportdata.swiss/didok/8500243,47.3649707491,7.9180571857
OP,Opfikon,OP,Opfikon,750,7.185169999999999,ZH Oerlikon Nord - Dorfnest,SBB,2684736.915,1253845.35,8503340,3340,Opfikon,http://lod.opentransportdata.swiss/didok/8503340,47.4299548445,8.56179472865
OPP,Oppikon,OPP,Oppikon,830,14.05437,Wil - Weinfelden,SBB,2722196.9080000003,1268080.022,8506185,6185,Oppikon,http://lod.opentransportdata.swiss/didok/8506185,47.5520642432,9.0621034373
ORD,Oberrieden,ORD,Oberrieden,720,14.22674,ZH Langstrasse - Thalwil - Ziegelbrucke,SBB,2686236.8589999997,1237157.0590000001,8503203,3203,Oberrieden,http://lod.opentransportdata.swiss/didok/8503203,47.27967633,8.57846060111
ORDD,Oberrieden Dorf,ORDD,Oberrieden Dorf,660,14.517710000000001,Thalwil - Zug - Fluhmuhle,SBB,2686180.499,1236828.836,8502209,2209,Oberrieden Dorf,http://lod.opentransportdata.swiss/didok/8502209,47.2767318248,8.57765280195
PAL,Palezieux,PAL,Palezieux,117,0.00325,Palezieux - Chatel-St-Denis,SBB,2553918.865,1154785.1940000001,8504014,4014,Palézieux,http://lod.opentransportdata.swiss/didok/8504014,46.5427635573,6.83787521203
PAY,Payerne,PAY,Payerne,252,27.894759999999998,Yverdon Est - Payerne,SBB,2561939.492,1185510.189,8504134,4134,Payerne,http://lod.opentransportdata.swiss/didok/8504134,46.8196499681,6.93988489691
PDS,Les Paluds,PDS,Les Paluds,100,50.0688,Lausanne - Simplon Tunnel I - Iselle,SBB,2566191.785,1119886.6509999998,8501440,1440,Les Paluds,http://lod.opentransportdata.swiss/didok/8501440,46.2295693052,7.00042314946
PDS,Les Paluds,PDS,Les Paluds,131,1.472,Les Paluds - St-Gingolph (Frontiere),SBB,2566191.785,1119886.6509999998,8501440,1440,Les Paluds,http://lod.opentransportdata.swiss/didok/8501440,46.2295693052,7.00042314946
PF,Pfaffikon SZ,PF,Pfaffikon SZ,720,33.43889,ZH Langstrasse - Thalwil - Ziegelbrucke,SBB,2701487.49,1228871.97,8503209,3209,Pfäffikon SZ,http://lod.opentransportdata.swiss/didok/8503209,47.2029974431,8.77812981895
PFOS,Pfaffikon SZ Ost (Abzw),PF,Pfaffikon SZ,720,34.011379999999996,ZH Langstrasse - Thalwil - Ziegelbrucke,SBB,2702060.885,1228867.325,8515165,15165,Pfäffikon SZ Ost (Abzw),http://lod.opentransportdata.swiss/didok/8515165,47.2028673294,8.78569540906
PIA,Pianotondo (c bin),PIA,Pianotondo (c bin),600,117.41615,Immensee - Bellinzona - Chiasso,SBB,2709337.643,1142040.408,8505244,5244,Pianotondo (c bin),http://lod.opentransportdata.swiss/didok/8505244,46.4207996151,8.8609454135
PIE,Pieterlen,PIE,Pieterlen,410,90.21118,Olten - Solothurn - Biel/Bienne,SBB,2592537.3019999997,1224502.716,8500200,200,Pieterlen,http://lod.opentransportdata.swiss/didok/8500200,47.17144119,7.34019351187
POR,Porrentruy,POR,Porrentruy,238,0.0,Porrentruy - Bonfol,SBB,2572944.253,1252296.688,8500126,126,Porrentruy,http://lod.opentransportdata.swiss/didok/8500126,47.4209164009,7.08007724521
POR,Porrentruy,POR,Porrentruy,240,112.87443999999999,Delemont - Delle,SBB,2572944.253,1252296.688,8500126,126,Porrentruy,http://lod.opentransportdata.swiss/didok/8500126,47.4209164009,7.08007724521
PORS,Porrentruy Sud,POR,Porrentruy,240,112.53912,Delemont - Delle,SBB,2572992.012,1251961.057,8515353,15353,Porrentruy Sud,http://lod.opentransportdata.swiss/didok/8515353,47.4178996995,7.08073051749
POU,Poudeille,NV,La Neuveville,9210,92.595,La Neuveville - Tuscherz,SBB,2575743.623,1214085.382,8519654,19654,Poudeille,http://lod.opentransportdata.swiss/didok/8519654,47.0773346088,7.11924348991
POZZ,Pozzo Negro (dira),POZZ,Pozzo Negro (dira),590,156.81765,Verbindungslinie GBT Pollegio Nord,SBB,2714394.042,1136773.2959999999,8515715,15715,Pozzo Negro (dira),http://lod.opentransportdata.swiss/didok/8515715,46.3725834647,8.92540725339
POZZ,Pozzo Negro (dira),POZZ,Pozzo Negro (dira),594,256.8376,GBT West,SBB,2714394.042,1136773.2959999999,8515715,15715,Pozzo Negro (dira),http://lod.opentransportdata.swiss/didok/8515715,46.3725834647,8.92540725339
PRW,Pratteln West,PR,Pratteln,530,6.86115,Basel SBB RB I  - Schweizerhalle,SBB,2617578.999,1263902.794,8515422,15422,Pratteln West,http://lod.opentransportdata.swiss/didok/8515422,47.5256274078,7.67204044495
QUA,Quartino,QUA,Quartino,631,163.95801,Cadenazzo - Pino confine,SBB,2711918.975,1112123.457,8505405,5405,Quartino,http://lod.opentransportdata.swiss/didok/8505405,46.1512981154,8.88733128001
RANS,Rank (Spw),RANS,Rank (Spw),450,49.074529999999996,Olten Sud - Bern,SBB,2631304.577,1237721.777,8515731,15731,Rank (Spw),http://lod.opentransportdata.swiss/didok/8515731,47.2896449462,7.85245879317
RAR,Raron,RAR,Raron,100,130.09,Lausanne - Simplon Tunnel I - Iselle,SBB,2627955.266,1128383.0729999999,8501604,1604,Raron,http://lod.opentransportdata.swiss/didok/8501604,46.3062743875,7.80151065367
RBG,Rothenburg,RBG,Rothenburg,500,84.54878000000001,Basel SBB - Olten - Luzern,SBB,2661421.206,1215669.095,8502020,2020,Rothenburg,http://lod.opentransportdata.swiss/didok/8502020,47.0881900168,8.24918003636
RBLD,RBL Depot,RBL,Zurich RB Limmattal,694,12.04321,RBL Depot,SBB,2672338.929,1251728.942,8503043,3043,RBL Depot,http://lod.opentransportdata.swiss/didok/8503043,47.4124001897,8.39713717222
RBLK,RBL Kopf Killwangen,RBL,Zurich RB Limmattal,692,15.21401,RBL Nord,SBB,2669838.9390000002,1253587.997,8503041,3041,RBL Kopf Killwangen,http://lod.opentransportdata.swiss/didok/8503041,47.4293895115,8.36430519505
RBLO,RBL Ost,RBL,Zurich RB Limmattal,695,12.66491,RBL R-Gruppe,SBB,2671794.924,1252038.945,8503542,3542,RBL Ost,http://lod.opentransportdata.swiss/didok/8503542,47.4152477925,8.38997937488
RBLZ,RBL Kopf Zurich,DT,Dietikon,691,11.40198,RBL Kopf Zurich - Killwangen West,SBB,2672819.9669999997,1251312.943,8503042,3042,RBL Kopf Zürich,http://lod.opentransportdata.swiss/didok/8503042,47.4086058875,8.40344269694
RBLZ,RBL Kopf Zurich,DT,Dietikon,692,11.40198,RBL Nord,SBB,2672819.9669999997,1251312.943,8503042,3042,RBL Kopf Zürich,http://lod.opentransportdata.swiss/didok/8503042,47.4086058875,8.40344269694
REB,Rebstein-Marbach,REB,Rebstein-Marbach,880,44.28637,Sargans Ost - St.Gallen,SBB,2762163.295,1251310.245,8506318,6318,Rebstein-Marbach,http://lod.opentransportdata.swiss/didok/8506318,47.3926400649,9.58675416246
REID,Reiden,REID,Reiden,500,52.99445,Basel SBB - Olten - Luzern,SBB,2640139.37,1232418.562,8502003,2003,Reiden,http://lod.opentransportdata.swiss/didok/8502003,47.2414683541,7.96877438545
RHS,Romanshorn Sud (Abzw),RHS,Romanshorn Sud (Abzw),869,1.1584299999999998,Romanshorn Sud - St.Gallen St.Fiden,SBB,2745945.725,1268974.678,8506144,6144,Romanshorn Süd (Abzw),http://lod.opentransportdata.swiss/didok/8506144,47.5552588324,9.37780034573
RIAZ,Riazzino,RIAZ,Riazzino,630,164.923,Giubiasco - Locarno,SBB,2711797.527,1114793.893,8505412,5412,Riazzino,http://lod.opentransportdata.swiss/didok/8505412,46.1753362757,8.88639741178
RIBN,Rivera-Bironico Nord,RIB,Rivera-Bironico,607,164.74853000000002,Mt. Ceneri - Rivera  (binario destro),SBB,2714760.488,1109622.048,8515423,15423,Rivera-Bironico Nord,http://lod.opentransportdata.swiss/didok/8515423,46.1283225378,8.92349053649
RIK,Rickenbach-Attikon,RIK,Rickenbach-Attikon,840,33.53471,Winterthur Nord - Romanshorn,SBB,2701688.211,1265833.311,8506018,6018,Rickenbach-Attikon,http://lod.opentransportdata.swiss/didok/8506018,47.5353573659,8.78917502501
RMZ,Ramismuhle-Zell,RMZ,Ramismuhle-Zell,754,13.52105,Winterthur Gruze - Bauma - Ruti ZH West,SBB,2704127.4910000004,1255442.879,8506006,6006,Rämismühle-Zell,http://lod.opentransportdata.swiss/didok/8506006,47.441539004,8.81913731151
ROC,Roche VD,ROC,Roche VD,100,33.84125,Lausanne - Simplon Tunnel I - Iselle,SBB,2560625.287,1134275.142,8501304,1304,Roche VD,http://lod.opentransportdata.swiss/didok/8501304,46.3586963543,6.92705287661
ROM,Romont,ROM,Romont,250,40.1979,Lausanne Est - Bern,SBB,2559702.789,1171501.6709999999,8504023,4023,Romont,http://lod.opentransportdata.swiss/didok/8504023,46.6935082523,6.91181143328
RS,Rorschach,RS,Rorschach,825,97.26665,Romanshorn Feld H - Rorschach,SBB,2755753.7539999997,1260632.362,8506311,6311,Rorschach,http://lod.opentransportdata.swiss/didok/8506311,47.4780019584,9.50514123365
RSHF,Rorschach Hafen,RSHF,Rorschach Hafen,825,96.31988,Romanshorn Feld H - Rorschach,SBB,2754831.38,1260673.523,8506306,6306,Rorschach Hafen,http://lod.opentransportdata.swiss/didok/8506306,47.4785898914,9.49292329258
RSO,Rorschach Ost (Abzw),RS,Rorschach,857,0.06006,Rorschach Ost (Abzw) - Heiden,SBB,2756380.89,1260669.1840000001,8515464,15464,Rorschach Ost (Abzw),http://lod.opentransportdata.swiss/didok/8515464,47.4781841263,9.51347106753
RSST,Rorschach Stadt,RSST,Rorschach Stadt,880,66.27202,Sargans Ost - St.Gallen,SBB,2754571.869,1260333.327,8506322,6322,Rorschach Stadt,http://lod.opentransportdata.swiss/didok/8506322,47.4755923529,9.48936372278
RTR,Rothrist,RTR,Rothrist,453,46.199709999999996,Rothrist Ost - Rothrist Gleis 4,SBB,2633331.79,1239601.841,8508103,8103,Rothrist,http://lod.opentransportdata.swiss/didok/8508103,47.3064556705,7.87939646797
RU,Rupperswil,RU,Rupperswil,640,43.50093,Brugg - Rupperswil,SBB,2651957.9,1250502.203,8502114,2114,Rupperswil,http://lod.opentransportdata.swiss/didok/8502114,47.4032902238,8.12695636496
RU,Rupperswil,RU,Rupperswil,650,35.6368,Killwangen West - Lenzburg - Daniken Ost,SBB,2651957.9,1250502.203,8502114,2114,Rupperswil,http://lod.opentransportdata.swiss/didok/8502114,47.4032902238,8.12695636496
RUC,Ruchfeld,RUC,Ruchfeld,528,0.99136,Ruchfeld - Basel SBB Dreispitz,SBB,2613061.06,1264814.634,8500046,46,Ruchfeld,http://lod.opentransportdata.swiss/didok/8500046,47.5339332271,7.61207697245
RUEN,Rumikon AG,RUEN,Rumikon AG,701,34.54316,Eglisau - Koblenz - Stein Sackingen Ost,SBB,2670365.066,1268716.034,8503415,3415,Rümikon AG,http://lod.opentransportdata.swiss/didok/8503415,47.5653838134,8.37366697038
RYAB,Rynacht (Abzw),RYAB,Rynacht (Abzw),594,198.8817,GBT West,SBB,2691856.2789999996,1188733.456,8516251,16251,Rynächt (Abzw),http://lod.opentransportdata.swiss/didok/8516251,46.8434016193,8.64290161721
RYSP,Rynacht (Spw),RYSP,Rynacht (Spw),595,99.45054,GBT Ost,SBB,2692040.126,1188170.988,8515712,15712,Rynächt (Spw),http://lod.opentransportdata.swiss/didok/8515712,46.8383172073,8.64519819316
RZ,Rafz,RZ,Rafz,770,27.037740000000003,Bulach - Eglisau - Neuhausen,SBB,2683080.966,1273152.803,8503404,3404,Rafz,http://lod.opentransportdata.swiss/didok/8503404,47.6037967676,8.54345146419
SA,Sargans,SA,Sargans,890,0.1684,Sargans Ost - Ziegelbrucke,SBB,2752549.277,1212372.612,8509411,9411,Sargans,http://lod.opentransportdata.swiss/didok/8509411,47.0453599813,9.4453999633
SADI,Sare (dira),SADI,Sare (dira),581,340.23247000000003,CBT Ovest,SBB,2716768.6010000003,1100682.842,8516168,16168,Sarè (dira),http://lod.opentransportdata.swiss/didok/8516168,46.0475795287,8.94724241917
SAF,Safenwil,SAF,Safenwil,504,6.56045,Zofingen - Suhr,SBB,2641193.734,1241352.5,8502100,2100,Safenwil,http://lod.opentransportdata.swiss/didok/8502100,47.3217579027,7.98351818243
SAOS,Sargans Ost,SA,Sargans,880,-0.10505,Sargans Ost - St.Gallen,SBB,2752758.187,1212198.092,8515469,15469,Sargans Ost,http://lod.opentransportdata.swiss/didok/8515469,47.043206083,9.44894983211
SAOS,Sargans Ost,SA,Sargans,900,0.10013,Sargans Ost - Chur West (Gleisende),SBB,2752758.187,1212198.092,8515469,15469,Sargans Ost,http://lod.opentransportdata.swiss/didok/8515469,47.043206083,9.44894983211
SCB,Sonceboz-Sombeval,SCB,Sonceboz-Sombeval,225,48.28167,Biel/Bienne West - La Chaux-de-Fonds,SBB,2579549.7369999997,1227169.062,8504304,4304,Sonceboz-Sombeval,http://lod.opentransportdata.swiss/didok/8504304,47.1951483393,7.16876361824
SCHN,Schlattingen,SCHN,Schlattingen,820,35.56775,Etzwilen - Schaffhausen,SBB,2700029.4960000003,1280402.751,8503429,3429,Schlattingen,http://lod.opentransportdata.swiss/didok/8503429,47.6666243222,8.77043377057
SCHO,Schofflisdorf-Oberweningen,SCHO,Schofflisdorf-Oberweningen,761,21.65496,Oberglatt - Niederweningen Gleisende,SBB,2673328.4269999997,1261256.062,8503317,3317,Schöfflisdorf-Oberweningen,http://lod.opentransportdata.swiss/didok/8503317,47.4979713419,8.41181234179
SCOE,Schonenwerd SO,SCOE,Schonenwerd SO,540,48.1296,Olten - Woschnau,SBB,2642412.224,1246883.137,8502112,2112,Schönenwerd SO,http://lod.opentransportdata.swiss/didok/8502112,47.3714238978,8.00015834607
SD,Saland,SD,Saland,754,21.24776,Winterthur Gruze - Bauma - Ruti ZH West,SBB,2706868.417,1250228.837,8506009,6009,Saland,http://lod.opentransportdata.swiss/didok/8506009,47.3942114352,8.85422140108
SDO,Schinznach Dorf,SDO,Schinznach Dorf,699,39.28351,Neuer Bozbergtunnel,SBB,2652193.6859999998,1256486.69,8500308,308,Schinznach Dorf,http://lod.opentransportdata.swiss/didok/8500308,47.4570946118,8.13077885548
SDO,Schinznach Dorf,SDO,Schinznach Dorf,700,39.28288,Brugg - Pratteln Ost,SBB,2652193.6859999998,1256486.69,8500308,308,Schinznach Dorf,http://lod.opentransportdata.swiss/didok/8500308,47.4570946118,8.13077885548
SEM,Sempach-Neuenkirch,SEM,Sempach-Neuenkirch,500,78.9919,Basel SBB - Olten - Luzern,SBB,2657475.924,1218617.0790000001,8502009,2009,Sempach-Neuenkirch,http://lod.opentransportdata.swiss/didok/8502009,47.1160532209,8.19597900562
SETS,Sedrun Entluftungsstollen,SETS,Sedrun Entluftungsstollen,5003,1.41682,Sedrun Zugangs- und Entluftungsstollen,SBB,2702142.233,1168784.328,8518493,18493,Sedrun Entlüftungsstollen,http://lod.opentransportdata.swiss/didok/8518493,46.6624770918,8.77328076824
SG,St. Gallen,SG,St. Gallen,880,80.49223,Sargans Ost - St.Gallen,SBB,2745712.515,1254278.969,8506302,6302,St Gallen,http://lod.opentransportdata.swiss/didok/8506302,47.4231789578,9.36989672929
SGW,St. Gallen West (Abzw),SG,St. Gallen,870,22.52032,St.Gallen West - Lichtensteig,SBB,2744946.9039999996,1253501.261,8506218,6218,St Gallen West (Abzw),http://lod.opentransportdata.swiss/didok/8506218,47.4163553074,9.35950093782
SGWI,St. Gallen Winkeln,SGWI,St. Gallen Winkeln,850,86.38234,St.Gallen - Winterthur Nord,SBB,2740555.584,1252013.398,8506300,6300,St Gallen Winkeln,http://lod.opentransportdata.swiss/didok/8506300,47.4039294299,9.300860239
SH,Schaffhausen,SH,Schaffhausen,763,364.421,Basel Bad Bhf - Waldshut - Schaffhausen,SBB,2689636.0889999997,1283755.982,8503424,3424,Schaffhausen,http://lod.opentransportdata.swiss/didok/8503424,47.6982814967,8.63275579305
SIFE,Sigirino finestra est,SIFE,Sigirino finestra est,5010,2.39383,Sigirino finestra,SBB,2717478.0560000003,1104478.703,8518499,18499,Sigirino finestra est,http://lod.opentransportdata.swiss/didok/8518499,46.0815957781,8.95735535265
SIG,Siggenthal-Wurenlingen,SIG,Siggenthal-Wurenlingen,702,31.070940000000004,Turgi - Koblenz - Waldshut,SBB,2660407.034,1263636.101,8503502,3502,Siggenthal-Würenlingen,http://lod.opentransportdata.swiss/didok/8503502,47.5206899852,8.24065994297
SIO,Sion,SIO,Sion,100,92.43205999999999,Lausanne - Simplon Tunnel I - Iselle,SBB,2593870.441,1119570.8159999999,8501506,1506,Sion,http://lod.opentransportdata.swiss/didok/8501506,46.2275532324,7.35919702156
SIR,Sirnach,SIR,Sirnach,850,113.83192,St.Gallen - Winterthur Nord,SBB,2717758.153,1257973.539,8506010,6010,Sirnach,http://lod.opentransportdata.swiss/didok/8506010,47.4619971136,9.00047421982
SIVS,Siviriez saut kilometrique,SIVS,Siviriez saut kilometrique,250,33.7113,Lausanne Est - Bern,SBB,2556649.128,1165967.6670000001,8516162,16162,Siviriez saut kilométrique,http://lod.opentransportdata.swiss/didok/8516162,46.6435365148,6.87241412081
SKN,Sisikon Nord,SK,Sisikon,604,25.8,Brunnen - Sisikon (Gleis links),SBB,2689949.0130000003,1200977.965,8515426,15426,Sisikon Nord,http://lod.opentransportdata.swiss/didok/8515426,46.951159974,8.62097993582
